12B1_4A1	12B1_5B1	12B1_6B1	12B2_4A1	12B2_5B2	12B2_6B2	5A2_12B1	5A2_12B2	6A2_12B1	6A2_12B2	12A2_5B1	12A2_6B1	12A2_5B2	12A2_6B2	12A2_5A2	12A2_6A2
3.2200000000000004e-08	660589748041449.6	674689578034985.5	634774305016239.5	660590161465909.0	674689991459444.8	634774718440698.9	658080263562470.5	658080676986929.9	614401177252065.8	614401590676525.0	664754582738894.9	624839309720149.0	664754582738894.9	624839309720149.0	648145268266380.0	604466181955975.2
3.26e-08	653980336453416.0	668152515670900.8	627925520854352.8	653980749877875.2	668152929095360.0	627925934278812.0	651474159370108.5	651474572794567.9	607665257882927.8	607665671307387.0	658292763565278.6	618065768748730.6	658292763565278.6	618065768748730.6	641614407264486.5	597805505777305.6
3.31e-08	645394344095952.2	659629777208688.9	619118346589840.4	645394757520411.5	659630190633148.1	619118346589840.4	642891887832778.5	642892301257237.9	598997407548353.2	598997820972812.5	649875861680010.1	609364431061161.6	649875861680010.1	609364017636702.4	633137972304099.9	589243492019674.5
3.3599999999999996e-08	636505725274090.0	650781260526463.4	610083375626935.9	636506552123008.6	650782087375382.0	610084202475854.5	634007816675264.9	634008643524183.5	590102587364302.5	590103414213221.1	641146411148021.0	600448526248493.5	641146411148021.0	600448526248493.5	624372967296822.5	580467737985860.1
3.42e-08	625524766928233.2	639821800233683.4	599009810272727.5	625525593777151.8	639822627082602.0	599010637121646.1	623033059686895.5	623033886535814.0	579199352755667.2	579200179604585.9	630348599691869.9	589536609730913.9	630348599691869.9	589536609730913.9	613559859145081.9	569726152213853.6
3.48e-08	614293686977285.1	628588653160438.8	587762606781975.2	614293273552825.9	628588239735979.5	587762193357515.9	611808594522595.1	611808181098135.9	568126614245676.4	568126200821217.0	619296945810496.4	578470899432032.9	619296945810496.4	578470899432032.9	602516887172652.8	558834906895733.94
3.54e-08	602903852165621.6	617176080022323.4	576419902321055.6	602904265585382.6	617176493442084.4	576420315740816.6	600425374497579.5	600425787917340.5	556963749283491.75	556964162703252.75	608086537073108.6	567330359371840.9	608086537073108.6	567330359371840.9	591335831548364.8	547874206334277.06
3.61e-08	589528754670890.9	603752611903470.9	563167591791993.9	589528754670890.9	603752611903470.9	563167591791993.9	587058545487331.0	587058545487331.0	543927659572668.06	543927659572668.06	594923112736965.8	554338092625488.75	594923112736965.8	554338092625488.75	578229046320826.0	535098160406163.0
3.6800000000000005e-08	576173501536098.1	590327903515938.8	549996725820284.56	576173501536098.1	590327903515938.8	549996725820284.56	573711560837020.5	573711560837020.5	530980869483920.9	530980869483920.9	581785734118248.2	541454556422594.06	581785734118248.2	541454556422594.06	565169391439330.0	522438700086230.4
3.76e-08	561097990594456.6	575149449963867.9	535195728503322.44	561097990594456.6	575149449963867.9	535195728503322.44	558645558648540.9	558645558648540.9	516444050184859.3	516444050184859.3	566937193021384.6	526983471560839.1	566937193021384.6	526983471560839.1	550433301706057.56	508231793242376.0
3.85e-08	544467178068867.6	558376419537128.6	518944852750198.56	544467178068867.6	558376419537128.6	518944852750198.56	542026735422866.8	542026735422866.8	500499935140729.7	500499935140729.7	550602392173549.0	511170825386618.94	550602392173549.0	511170825386618.94	534252708059287.1	492725907777150.0
3.95e-08	526627926803263.8	540345752902038.0	501602537294401.7	526627926803263.8	540345752902038.0	501602537294401.7	524200300306096.5	524200300306096.5	483505309377784.1	483505309377784.1	533107109790064.9	494363894182428.6	533107109790064.9	494363894182428.6	516961657194123.44	476266666265811.0
4.05e-08	509599400262864.5	523091496785537.7	485142468934144.1	509599400262864.5	523091496785537.7	485142468934144.1	507185830187908.6	507185830187908.6	467394584408212.3	467394584408212.3	516411803100547.2	478462775249153.6	516411803100547.2	478462775249153.6	500506136502918.2	460714890723221.8
4.17e-08	490400810456556.1	503576637521774.3	466710367468807.7	490409492365497.7	503585319430715.9	466718222528830.7	488005017619241.7	488013699528183.25	449371772828443.5	449380454737385.1	497604725946857.9	460738455893891.3	497604725946857.9	460737629044972.7	482033106044325.3	443399861253527.1
4.3099999999999996e-08	469885464800631.44	482625956253457.25	447197575327338.1	469885464800631.44	482625956253457.25	447197575327338.1	467514063982907.9	467514063982907.9	430300931086011.3	430300931086011.3	477510659476413.06	442082278550293.9	477510659476413.06	442082278550293.9	462398767205863.6	425185634308967.1
4.46e-08	450216398331099.06	462407035690348.6	428724958297908.4	450216398331099.06	462407035690348.6	428724958297908.4	447878071446611.7	447878071446611.7	412218586431124.44	412218586431124.44	458226904302015.06	424544826909574.75	458226904302015.06	424544826909574.75	443697940058278.1	408038455042790.8
4.64e-08	429774228743346.3	441185975037241.5	409877365580117.5	429774228743346.3	441185975037241.5	409877365580117.5	427488820142628.25	427488820142628.25	393651295280443.2	393651295280443.2	438120435102497.6	406811825645373.6	438120435102497.6	406811825645373.6	424423280207884.4	390585755345699.3
4.85e-08	410084077640498.1	420412652711507.06	392258055952888.25	410084077640498.1	420412652711507.06	392257642528428.94	407883420992809.75	407883420992809.75	375970798880258.56	375970798880258.56	418591519416522.8	390436922657904.0	418591519416522.8	390436509233444.7	406062287697825.56	374149665585274.3
5.11e-08	391361752439835.9	400105259389338.1	376353629628637.1	391361752439835.9	400105259389338.1	376353629628637.1	389301246571001.2	389301246571001.2	360079602129297.56	360079602129297.56	399667856659350.4	375916226898649.3	399667856659350.4	375916226898649.3	388863843841013.44	359642199399309.75
5.4299999999999997e-08	375622695767646.25	382132472136223.94	364232447526825.2	375622695767646.25	382132472136223.94	364232447526825.2	373779650990427.6	373779650990427.6	354937019361450.1	354937019361450.1	383014719231763.2	365114694622364.44	383014719231763.2	365114694622364.44	374661898085966.9	355819266456989.4
5.8499999999999994e-08	364220871651369.56	367688259836114.6	356990083594721.06	364220871651369.56	367688259836114.6	356990083594721.06	362670944580691.9	362670944580691.9	352541639943896.6	352541639943896.6	369404796827533.4	358706620586139.8	369404796827533.4	358706620586139.8	364387481572110.6	354258176935315.4
6.440000000000001e-08	358426319028432.4	358345287895539.1	354825394846780.25	358426319028432.4	358345287895539.1	354825394846780.25	357179018422155.94	357179018422155.94	353058833533402.5	353058833533402.5	359804261655702.4	356284368606943.5	359804261655702.4	356284368606943.5	358637992182319.1	354517807293565.75
7.37e-08	356964451297054.0	355793634159322.25	353563210969371.0	356964451297054.0	355793634159322.25	353563210969371.0	355938332602527.25	355938332602527.25	354990764494140.7	354990764494140.7	356290983388890.25	354060560198939.0	356290983388890.25	354060560198939.0	356435681832095.25	355488113723708.7
9.28e-08	356926829704170.3	355157374419580.1	354126294636242.9	356926829704170.3	355157374419580.1	354126294636242.9	357121139044875.0	357121139044875.0	353731474592650.4	353731474592650.4	355032933756074.0	354001853972736.75	355032933756074.0	354001853972736.75	356996698381368.9	353607033929144.25
