10A1_7A1	10A1_8A1	11A1_7A1	11A1_8A1	9B1_10A1	9B1_11A1	11B1_7A1	11B1_8A1	11B1_9B1	9B2_10A1	9B2_11A1	11B2_7A1	11B2_8A1	11B2_9B2	9A2_11B1	9A2_11B2	11A2_9B1	11A2_9B2	11A2_9A2
3.17e-08	243198398863760.34	182451924144054.94	374867369863224.8	314120895143519.4	162198275963521.0	293867246962985.5	170594093227397.66	109847618507692.23	89593970327158.31	162198275963521.0	293867246962985.5	170594093227397.66	109847618507692.23	89593970327158.31	104777384967022.77	104777384967022.77	162218533751846.28	162218533751846.28	177401948391710.72
3.2200000000000004e-08	237771793723992.56	176043023270213.47	370236192755426.8	308507422301647.75	157664666945640.34	290129065977074.6	166916272153377.5	105187501699598.42	86809145375025.3	157664666945640.34	290129065977074.6	166916272153377.5	105187501699598.42	86809145375025.3	101798664100124.55	101798664100124.55	157687405282933.53	157687405282933.53	172676924008032.78
3.26e-08	233289862724866.47	170828091284565.47	366311970917068.06	303850199476767.0	154225805026723.84	287247913218925.4	163971038650465.75	101509267210164.73	84906980952323.11	154225805026723.84	287247913218925.4	163971038650465.75	101509267210164.73	84906980952323.11	99686480222617.23	99686480222617.23	154250610478739.75	154250610478739.75	169030109749033.9
3.31e-08	227544094145184.34	164234803238750.9	361163600187476.25	297854309281042.8	150223032584034.66	283842538626326.56	160426753560480.2	97117462654046.75	83105691999330.5	150223032584034.66	283842538626326.56	160426753560480.2	97117462654046.75	83105691999330.5	96631689300356.56	96631689300356.56	150251558850088.03	150251558850088.03	163777556151114.06
3.3599999999999996e-08	221700344060182.3	157616709740920.44	355797768412681.5	291714134093419.6	146623762095507.75	280721186448006.94	157171038548470.0	93087404229208.14	82094456583795.44	146623348680096.97	280720773032596.12	157171038548470.0	93087404229208.14	82094043168384.66	92599150326550.02	92599150326550.02	146656422609840.97	146656009194430.2	157161116352595.56
3.42e-08	214652289456864.44	149747594822795.3	349146187550864.56	284241492916795.4	142880620011658.28	277374518105658.38	153809486912308.44	88904792278239.28	82037817467102.27	142880206577410.38	277374104671410.47	153809486912308.44	88904792278239.28	82037404032854.34	88414471260858.44	88414471260858.44	142918655039338.16	142918241605090.22	149295308833094.3
3.48e-08	207671622996930.3	142076096652301.7	342344947164964.9	276749420820336.28	139657152060896.27	274330476228930.84	151161505361671.03	85565979017042.44	83147034425637.0	139657152060896.27	274330476228930.84	151161091946263.0	85565565601634.39	83146621010228.95	85076071415072.38	85075657999664.33	139702628735485.38	139702628735485.38	141631665724920.75
3.54e-08	200865008116521.16	134730790115546.61	335470944141169.3	269336726140194.75	136527117970603.36	271133053995251.5	149269263116011.62	83135045115037.1	84931372970093.84	136527117970603.36	271133053995251.5	149269263116011.62	83135045115037.1	84931372970093.84	82646377796968.19	82646377796968.19	136581276519491.48	136581276519491.48	134296281346365.81
3.61e-08	193279088725344.97	126740541939392.1	327453823398273.4	260915276612320.47	131968290066458.84	266143024739387.25	147976485853999.66	81437939068046.77	86665687195113.53	131968703500704.03	266143438173632.44	147976485853999.66	81437939068046.77	86666100629358.72	80954646244487.36	80954646244487.36	132035264775602.84	132035678209848.03	126324223824976.69
3.6800000000000005e-08	186215737450477.6	119559778201692.88	319530136497014.94	252874177248230.22	126123713131798.1	259438112178335.44	147554379829663.97	80898420580879.25	87462355510984.47	126123713131798.1	259438112178335.44	147554379829663.97	80898420580879.25	87462355510984.47	80422982819637.16	80422982819637.16	126206397965573.95	126206397965573.95	119167025274226.62
