4B1_1A1	4B1_1B1	4B2_1A1	4B2_1B2	1A2_4B1	1A2_4B2	2A2_4B1	2A2_4B2	4A2_1B1	4A2_1B2	4A2_1A2	4A2_2A2
3.13e-08	1965558470510867.2	1956955527764680.8	1965558470510867.2	1956956354608898.2	1965558470510867.2	1965558470510867.2	1953485659028478.8	1953485659028478.8	1956852998578710.8	1956853825422928.2	1965455941324897.2	1953383129842508.8
3.17e-08	1972116617498868.5	1963346237978324.0	1972116617498868.5	1963347064827242.5	1972116617498868.5	1972116617498868.5	1959794924694168.8	1959794924694168.8	1963247843036944.2	1963248669885862.8	1972018222557488.8	1959696529752789.0
3.2200000000000004e-08	1979948110815269.8	1971079749777804.8	1979948110815269.8	1971080576626723.2	1979948110815269.8	1979948110815269.8	1967480892718446.5	1967480892718446.5	1970985902500776.2	1970986729349695.0	1979854263538241.2	1967387045441418.0
3.26e-08	1985927877454910.2	1977047113688369.8	1985927877454910.2	1977047940537288.5	1985927877454910.2	1985927877454910.2	1973442055266823.0	1973442055266823.0	1976955333528936.8	1976956160377855.5	1985836097295477.2	1973350275107390.0
3.31e-08	1993046627563027.2	1984216714972060.2	1993046627563027.2	1984217541820978.8	1993046627563027.2	1993046627563027.2	1980636875419025.5	1980636875419025.5	1984127415359383.0	1984128242208301.8	1992957327950350.2	1980547575806348.5
3.3599999999999996e-08	1999773038179003.5	1991054336678252.2	1999773038179003.5	1991055576951627.5	1999773038179003.5	1999773038179003.5	1987529069111522.5	1987529069111522.5	1990966277338953.0	1990967517612328.2	1999684978839704.2	1987441009772223.2
3.42e-08	2007333325271098.0	1998809346530810.0	2007333325271098.0	1998810173379728.5	2007333325271098.0	2007333325271098.0	1995378339665570.8	1995378339665570.8	1998722114040426.5	1998722940889345.2	2007246092780714.8	1995291107175187.2
3.48e-08	2014345825377809.8	2006067007153802.2	2014345825377809.8	2006068247422479.2	2014345825377809.8	2014345825377809.8	2002753826165421.5	2002753826165421.5	2005980188087881.0	2005981428356557.8	2014259006311888.5	2002667007099500.0
3.54e-08	2020830796302340.0	2012834760178092.2	2020830796302340.0	2012828145391447.0	2020830796302340.0	2020830796302340.0	2009649740673351.0	2009649740673351.0	2012747527687711.5	2012740912901066.5	2020743563811959.5	2009562508182970.2
3.61e-08	2027740353808022.0	2020098622167974.0	2027740353808022.0	2020098622167974.0	2027740353808022.0	2027740353808022.0	2017083933404105.0	2017083933404105.0	2020010562828674.8	2020010562828674.8	2027652294468722.5	2016995874064805.8
3.6800000000000005e-08	2033966107798761.0	2026704726355637.8	2033966107798761.0	2026704726355637.8	2033966107798761.0	2033966107798761.0	2023864916001690.5	2023864916001690.5	2026615426742960.5	2026615426742960.5	2033876808186084.0	2023775616389013.2
3.76e-08	2040294390975470.2	2033477853897895.8	2040294390975470.2	2033477853897895.8	2040294390975470.2	2040294390975470.2	2030839381095760.2	2030839381095760.2	2033386900592082.2	2033386900592082.2	2040203437669657.0	2030748427789947.0
3.85e-08	2046469293800033.0	2040154240196616.8	2046469293800033.0	2040154240196616.8	2046469293800033.0	2046469293800033.0	2037737362725986.5	2037737362725986.5	2040061219768506.8	2040061219768506.8	2046376273371923.2	2037644342297876.5
3.95e-08	2052250616849677.5	2046477975708974.5	2052250616849677.5	2046477975708974.5	2052250616849677.5	2052250616849677.5	2044295509718688.5	2044295509718688.5	2046383715007486.8	2046383715007486.8	2052156356148189.5	2044201249017200.8
4.05e-08	2057001686964903.0	2051745412560089.2	2057001686964903.0	2051745412560089.2	2057001686964903.0	2057001686964903.0	2049780821090576.8	2049780821090576.8	2051649911585223.5	2051649911585223.5	2056906185990037.2	2049685320115711.0
4.17e-08	2061499328088767.8	2056818126650738.0	2061499328088767.8	2056818126650738.0	2061499328088767.8	2061499328088767.8	2055090840632782.2	2055090840632782.2	2056722625675872.5	2056722625675872.5	2061403827113902.2	2054995339657916.5
4.3099999999999996e-08	2065330529510869.5	2061248793063918.5	2065330529510869.5	2061248793063918.5	2065330529510869.5	2065330529510869.5	2059762533312952.0	2059762533312952.0	2061155772635808.5	2061155772635808.5	2065237509082759.8	2059669512884842.0
4.46e-08	2068048379752767.5	2064519804790366.0	2068048379752767.5	2064519804790366.0	2068048379752767.5	2068048379752767.5	2063250179286795.2	2063250179286795.2	2064432985724442.0	2064432985724442.0	2067961560686843.5	2063163360220871.2
4.64e-08	2069814941066142.5	2066847796077474.0	2069814941066142.5	2066847796077474.0	2069814941066142.5	2069814941066142.5	2065793151118766.2	2065793151118766.2	2066772966306766.5	2066772966306766.5	2069740111295435.0	2065718321348058.8
4.85e-08	2070509493602923.8	2068004970217453.5	2070509493602923.8	2068005383641913.0	2070509493602923.8	2070509493602923.8	2067123963395292.2	2067123963395292.2	2067948744538010.0	2067949157962469.2	2070453267923480.0	2067067737715848.5
5.11e-08	2070056380757588.5	2067973136557598.0	2070056380757588.5	2067973549982057.2	2070056380757588.5	2070056380757588.5	2067247163785420.5	2067247163785420.5	2067942543171123.0	2067942956595582.5	2070025787371113.5	2067216570398945.5
5.4299999999999997e-08	2068564746488653.8	2066809347626275.0	2068564746488653.8	2066809761050734.2	2068564746488653.8	2068564746488653.8	2066202027579874.5	2066202027579874.5	2066805626810842.5	2066806040235301.8	2068561025673221.0	2066198306764441.8
5.8499999999999994e-08	2066261974079449.2	2064767445843997.8	2066261974079449.2	2064767445843997.8	2066261974079449.2	2066261974079449.2	2064252732801250.2	2064252732801250.2	2064783155964046.2	2064783155964046.2	2066277684199497.8	2064268442921299.0
6.440000000000001e-08	2063790938046973.5	2062442348532806.0	2063790938046973.5	2062442348532806.0	2063790938046973.5	2063790938046973.5	2061979726929610.2	2061979726929610.2	2062461779468284.5	2062461779468284.5	2063810368982452.0	2061999157865089.0
7.37e-08	2061901589772627.8	2060615013875633.2	2061901589772627.8	2060615013875633.2	2061901589772627.8	2061901589772627.8	2060174303749971.0	2060174303749971.0	2060627416600007.5	2060627416600007.5	2061913992497002.0	2060186706474345.2
9.28e-08	2061250860186215.0	2059972139349243.2	2061250860186215.0	2059972139349243.2	2061250860186215.0	2061250860186215.0	2059533909770336.8	2059533909770336.8	2059979167560347.5	2059979167560347.5	2061257888397319.2	2059540937981441.2
