R	10B1_4A1	10B1_5B1	10B1_6B1	10B2_4A1	10B2_5B2	10B2_6B2	5A2_10B1	5A2_10B2	6A2_10B1	6A2_10B2	10A2_5B1	10A2_6B1	10A2_5B2	10A2_6B2	10A2_6A2
3.48e-08	351442758600958.94	365737724784112.6	324911678405649.06	351442345176499.6	365737311359653.3	324911264981189.75	348957666146269.0	348957252721809.7	305275685869350.2	305275272444890.9	358450297623561.2	317624251245097.56	358450297623561.2	317624251245097.56	297988258708798.7
3.54e-08	347358128187491.06	361630356044192.75	320874178342925.0	347358128187491.06	361630356044192.75	320874178342925.0	344879650519448.9	344879650519448.9	301418025305361.1	301418025305361.1	353253969718322.0	312497792017054.3	353253969718322.0	312497792017054.3	293041638979490.44
3.61e-08	343407447190693.9	357631304423273.75	317046284311796.75	343407447190693.9	357631304423273.75	317046284311796.75	340937238007134.0	340937238007134.0	297806352092471.0	297806352092471.0	348023741035634.56	307438720924157.56	348023741035634.56	307438720924157.56	288198788704831.8
3.6800000000000005e-08	340229455892356.06	354383857872196.7	314052680176542.5	340229455892356.06	354383857872196.7	314052680176542.5	337767515193278.44	337767515193278.44	295036823840178.8	295036823840178.8	343648060033221.1	303316882337566.94	343648060033221.1	303316882337566.94	284301026001203.25
3.76e-08	337367734056177.06	351419193425588.4	311465471965042.9	337367734056177.06	351419193425588.4	311465471965042.9	334915302110261.3	334915302110261.3	292713793646579.75	292713793646579.75	339552680588517.9	299598959127972.4	339552680588517.9	299598959127972.4	280847280809509.25
3.85e-08	334898765145992.4	348808006614253.4	309376439827323.3	334898765145992.4	348808006614253.4	309376439827323.3	332458322499991.56	332458322499991.56	290931522217854.44	290931522217854.44	335872792396263.56	296441225609333.44	335872792396263.56	296441225609333.44	277996307999864.56
3.95e-08	332830817636890.25	346548643735664.44	307805428128028.2	332830817636890.25	346548643735664.44	307805428128028.2	330403191139723.0	330403191139723.0	289708200211410.56	289708200211410.56	332643949931754.7	293900734324118.44	332643949931754.7	293900734324118.44	275803506407500.84
4.05e-08	330477194056813.56	343969290579486.75	306020262728093.2	330477194056813.56	343969290579486.75	306020262728093.2	328063623981857.7	328063623981857.7	288272378202161.4	288272378202161.4	330056741720249.56	292107713868856.0	330056741720249.56	292107713868856.0	274359829342924.22
4.17e-08	319942733769647.06	333118560834865.2	296252290781898.6	319950175405213.44	333126002470431.6	296258905568546.44	317546940932332.6	317554382567899.0	278913696141534.44	278921137777100.84	327533200823760.06	290666930770793.5	327533200823760.06	290666103921874.9	273328336130429.3
4.3099999999999996e-08	310374032257668.9	323114523710494.7	287686142784375.5	310374032257668.9	323114523710494.7	287686142784375.5	308002631439945.25	308002631439945.25	270789498543048.75	270789498543048.75	325112602537699.9	289684221611580.7	325112602537699.9	289684221611580.7	272787577370253.94
