 R = [9.28, 7.37, 6.44, 5.85, 5.43, 5.11, 4.85, 4.64, 4.46, 4.31, 4.17, 4.05, 3.95, 3.85, 3.76, 3.68, 3.61, 3.54, 3.48, 3.42]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
  42   4   -529.50673767      0.05378633    11804.74      0.05579674    12245.97      1.5183
  43   4   -529.50628703      0.05423697    11903.64      0.05624738    12344.87      1.5306
  44   4   -529.50446345      0.05606055    12303.87      0.05807096    12745.10      1.5802
  45   4   -529.50349647      0.05702753    12516.10      0.05903794    12957.33      1.6065
  46   4   -529.49971328      0.06081072    13346.41      0.06282113    13787.64      1.7094
  47   4   -529.49944207      0.06108193    13405.93      0.06309234    13847.17      1.7168
  48   4   -529.49816879      0.06235521    13685.39      0.06436562    14126.62      1.7515

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56249352     -0.00201038     -441.23      0.00000000        0.00      0.0000
   2   1   -529.55998789      0.00049525      108.70      0.00250563      549.92      0.0682
   3   1   -529.55316125      0.00732188     1606.97      0.00933227     2048.20      0.2539
   4   1   -529.50696859      0.05351454    11745.08      0.05552493    12186.31      1.5109
   5   1   -529.50623627      0.05424687    11905.81      0.05625725    12347.04      1.5308
   6   1   -529.50601552      0.05446761    11954.26      0.05647800    12395.49      1.5368
   7   1   -529.50362135      0.05686178    12479.72      0.05887217    12920.95      1.6020
   8   1   -529.50323775      0.05724539    12563.91      0.05925577    13005.14      1.6124
   9   1   -529.49977206      0.06071108    13324.54      0.06272146    13765.77      1.7067
  10   1   -529.49945020      0.06103293    13395.18      0.06304332    13836.41      1.7155
  11   1   -529.49854545      0.06193768    13593.75      0.06394807    14034.98      1.7401
  12   1   -529.49145200      0.06903114    15150.58      0.07104152    15591.81      1.9331
 
  13   2   -529.56245106     -0.00196793     -431.91      0.00004246        9.32      0.0012
  14   2   -529.55991056      0.00057257      125.67      0.00258296      566.89      0.0703
  15   2   -529.55299676      0.00748638     1643.07      0.00949676     2084.30      0.2584
  16   2   -529.51245859      0.04802455    10540.17      0.05003493    10981.40      1.3615
  17   2   -529.50712605      0.05335709    11710.53      0.05536747    12151.75      1.5066
  18   2   -529.50669308      0.05379006    11805.55      0.05580044    12246.78      1.5184
  19   2   -529.50594006      0.05454307    11970.82      0.05655346    12412.05      1.5389
  20   2   -529.50417013      0.05631301    12359.28      0.05832339    12800.50      1.5871
  21   2   -529.50333115      0.05715199    12543.41      0.05916237    12984.64      1.6099
