R	1s5	1s4	1s3	1s2	2p10	2p9	2p8	2p7	2p6	2p5	2p4	2p3	2p2	2p1
2.92	171072.463170969	170996.09706414593	171145.71558527806	170324.40192480801	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144134.84098115828	111421.4140089474	159512.6373413664	153730.75348684637	236746.05888720835	156762.85361272466
2.96	167049.5235049816	167106.52296098377	167175.63951566484	166572.9315117592	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144075.2180837277	110945.73691018167	157952.00498909873	152377.14894994328	235444.61500207277	156762.85361272466
2.99	164112.16754951086	164262.4300710904	164275.39624981346	163828.9759513355	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144075.2180837277	110623.45779082252	156688.06879748075	151262.9793609179	234408.07288037543	156762.85361272466
3.02	161227.75285509907	161467.07045611748	161425.70301830806	161135.2361309278	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144075.2180837277	110317.25503315256	155339.11664936406	150060.93324708243	233314.32462795643	156762.85361272466
3.06	157456.00919690222	157806.72977723714	157695.5107614124	157611.70141303056	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144075.2180837277	109916.30689218131	153403.0975564948	148321.12478267774	231760.87548916048	156762.85361272466
3.09	154676.69927366212	155105.0693812299	154943.14619167012	155013.95987610018	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144075.2180837277	109610.76349368066	151846.40021719824	146914.10031352338	230521.34285279145	156762.85361272466
3.13	151030.6786788198	151554.64498574787	151327.78598041795	151602.43671906437	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	144054.87050808917	109181.10336739535	149631.6655679	144907.2079872992	228766.90865315602	156631.30373348002
3.17	147450.72044827096	148061.24296364622	147773.25226983943	148245.2146860309	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	143973.15055565166	108716.21246175659	147266.1974494998	142764.8006116509	226897.16324878263	156331.15928896132
3.22	143050.86189903907	143757.3976154851	143395.577490248	144113.80042029917	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	143743.0327098326	108067.4171185844	144090.83599218243	139894.20875238153	224388.99771020317	155724.03491377845
3.26	139589.99012819413	140362.22927661854	139946.58450417436	140848.85875309331	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	143432.88283693217	107490.29599976733	141402.7615726976	137483.99383327286	222259.67286795823	155069.1441737673
3.31	135332.85496213156	136177.3263271553	135697.71033250703	136824.22549087077	75945.26753760932	58072.020200161554	86663.9673986592	155677.66307546216	142970.4871094853	106685.27048198663	137872.9561090538	134350.298540988	219445.09880292992	154047.4953282331
3.36	131149.2308437012	132058.46928939832	131516.08517342046	132868.2563942518	75945.26753760932	58072.020200161554	86663.9673986592	155552.15799732663	142488.6543958921	105785.77404855294	134181.06868948913	131118.72804499723	216469.74522052117	152819.77695258948
3.42	126222.21923409349	127197.5356153314	126585.10043134502	128195.30279619806	75945.26753760932	58072.020200161554	86663.9673986592	155113.6808823852	141659.48334570642	104580.04918503048	129580.64471881841	127163.79490149734	212701.8600412113	151095.48935980027
3.48	121395.63360029325	122431.23455824987	121748.58673006418	123621.42139246047	75945.26753760932	58072.020200161554	86663.9673986592	154270.66698319942	140588.87642606083	103237.24380865166	124844.6047411729	123177.71902137625	208738.24552239847	149127.54053892946
3.54	116665.6618237637	117748.67727135571	117004.99203074173	119110.44642687225	75945.26753760932	58072.020200161554	86663.9673986592	152841.5873239538	139391.9023452477	101765.4121573975	120021.47289973464	119203.2353306605	204600.4050575256	146946.68001658074
3.61	111275.8423857648	112404.31032887739	111595.59051914338	113952.80785046097	75945.26753760932	58072.020200161554	86663.9673986592	150045.26307625606	138112.227450224	99899.01666909507	114339.39181196473	114620.67926948336	199582.23816642692	144171.9049716009
3.68	106029.29137113296	107188.05343182466	106326.65669326585	108891.73228853599	75899.62011207057	58072.020200161554	86663.9673986592	145917.47750562994	137066.3284385794	97889.82254256021	108647.89664353617	110127.9455236214	194391.58209521338	141190.35944408
3.76	100209.45844902494	101406.36909568043	100479.85913922616	103301.44959493527	75625.47517179209	58072.020200161554	86663.9673986592	140079.54288478786	135865.7950867832	95446.34092119594	102206.70289253278	105135.85749049888	188299.12782354536	137581.48181563566
3.85	93892.94233374589	95117.21767943523	94133.17044742143	97185.8549938723	75044.84352608667	58072.020200161554	86663.9673986592	132665.95553878136	134202.75191664265	92550.9486513158	95092.79755395968	99746.61842916548	181275.88767864587	133332.78061598146
3.95	87168.70030816982	88415.1515008928	87376.4374966482	90648.9626740862	74086.72005866795	58072.020200161554	86663.9673986592	123814.39730491013	131803.82674256896	89206.58619222879	87526.83692441591	94110.00380837645	173350.9690048336	128449.6230873203
4.05	80760.80728007345	82021.51099241822	80938.07462636662	84391.58793773594	72829.60292290438	58072.020200161554	86642.72027707347	114633.06692798377	128763.340621457	85782.79726071328	80162.2816857594	89052.34838214466	165357.14124341446	123473.3729027299
4.17	73494.39107106655	74764.34551094468	73638.85927171454	77262.60719219112	70973.9030376879	58072.020200161554	86019.82249934027	103565.54367303582	124294.15154187212	81645.06388134648	72822.99346261723	83252.17266566119	155767.6891052408	117449.06339623976
4.31	65597.12815275826	66869.46399598104	65708.75205366501	69474.85735829317	68405.56022960933	58072.020200161554	84413.74381428817	91168.38149762359	118125.85444750088	76886.6494297278	65441.38072415381	77422.11620116484	144705.02285413168	110533.67833533486
4.46	57818.25744400387	59085.96586611341	57900.99129373996	61763.53048724113	65267.37998240518	57982.16617090966	81586.58859857204	79281.82600670826	110718.25107757107	71956.25372553535	59206.41091297605	71975.51654357354	133111.38903647853	103287.58639427718
4.64	49424.27576407996	50667.45329611943	49477.85984136623	53362.20156685834	61116.21625729235	56953.099007393575	76819.75912192826	67757.4096782306	101291.86230158817	66380.53584568709	53573.53429305272	66300.10696775693	119698.89858822218	94955.64997670313
4.85	40770.3229780964	41988.813266653444	40803.07202696714	44665.099810624786	55960.59948473395	54751.31761749714	70040.74216667602	58045.460650797075	90228.55414648156	60431.31426409489	48708.93221776318	60557.111797983685	104897.83754550276	85837.06821385298
5.11	31600.440583785236	32792.051104797814	31613.46137487932	35426.710468590194	49395.09888933243	50969.77192623332	61146.09780558484	49867.40950496946	77191.70897442293	53896.906102046894	44077.13284236857	54351.39814565885	88045.13010981068	75504.12807020618
5.43	22383.788210042654	23554.59953719202	22379.917153177026	26121.384412424268	41495.561319233704	45341.830203164856	50886.57263420131	42812.69985463448	62849.87189624494	46946.97097700249	39274.793631501554	47566.97061699349	69834.71631871314	64206.54074504454
5.85	13238.09242096722	14363.261951232702	13215.711983901425	16747.481499211855	32025.302920711092	37359.25290645818	39559.62625999226	35500.34336105088	47357.19125198696	39143.12994334914	33430.95273220678	39345.50696331091	50614.225183793584	51589.58975995721
6.44	2884.023897804518	4743.706449132631	2792.444794199905	7512.481578717902	21082.4914708984	26922.653031309772	27421.67151185028	26395.432531097562	31546.01497504231	29685.305242178474	25551.7640416363	28712.026293292864	32140.826004408544	37444.32946768624
7.37	0.0	0.0	0.0	0.0	9309.440110371414	14688.008766494948	14602.225686608312	14838.80105972926	16337.942096656468	17554.35319702367	15009.738365428911	15796.44988940844	16075.840913102442	21580.051925120708
9.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
